dt,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
2026-01-21 04:45:02,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.7,25.29,24.7,24.7,1010,79,1010,1005,10000,0.65,226,0.95,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:00:03,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.7,25.29,24.7,24.7,1010,79,1010,1005,10000,0.65,226,0.95,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:00:03,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.7,25.29,24.7,24.7,1010,79,1010,1005,10000,0.65,226,0.95,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:10:55,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.7,25.29,24.7,24.7,1010,79,1010,1005,10000,0.65,226,0.95,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:10:55,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.7,25.29,24.7,24.7,1010,79,1010,1005,10000,0.65,226,0.95,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:30:02,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.51,25.11,24.51,24.51,1011,80,1011,1006,10000,0.91,209,1.11,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:45:02,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.51,25.11,24.51,24.51,1011,80,1011,1006,10000,0.91,209,1.11,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-21 05:50:04,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.51,25.11,24.51,24.51,1011,80,1011,1006,10000,0.91,209,1.11,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,2002026-01-21 06:00:03,-80.4544,-1.0546,804,Clouds,overcast clouds,04n,stations,24.51,25.11,24.51,24.51,1011,80,1011,1006,10000,0.91,209,1.11,100,,,EC,2026-01-21 06:27:54,2026-01-21 18:38:01,-18000,3652941,Portoviejo,200
2026-01-22 04:45:04,-80.4544,-1.0546,500,Rain,light rain,10n,stations,22.91,23.61,22.91,22.91,1011,90,1011,1006,10000,0.65,116,0.88,100,,,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
2026-01-22 05:00:04,-80.4544,-1.0546,500,Rain,light rain,10n,stations,22.91,23.61,22.91,22.91,1011,90,1011,1006,10000,0.65,116,0.88,100,,,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
2026-01-22 05:15:03,-80.4544,-1.0546,500,Rain,light rain,10n,stations,22.91,23.61,22.91,22.91,1011,90,1011,1006,10000,0.65,116,0.88,100,,,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
2026-01-22 05:30:03,-80.4544,-1.0546,500,Rain,light rain,10n,stations,23.07,23.76,23.07,23.07,1011,89,1011,1006,10000,0.86,122,1.13,100,,,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
2026-01-22 05:45:04,-80.4544,-1.0546,500,Rain,light rain,10n,stations,23.07,23.76,23.07,23.07,1011,89,1011,1006,10000,0.86,122,1.13,100,,,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
2026-01-22 06:08:32,-80.45,-1.05,500,Rain,light rain,10n,stations,23.67,24.42,23.67,23.67,1011,89,1011,1004,10000,0.86,121,1.13,100,1,8552,EC,2026-01-22 06:28:12,2026-01-22 18:38:15,-18000,3652941,Portoviejo,200
2026-01-22 06:31:52,-80.4544,-1.0546,804,Clouds,overcast clouds,04d,stations,23.82,24.56,23.82,23.82,1012,88,1012,1007,10000,0.67,115,0.9,100,1,8552,EC,2026-01-22 06:28:12,2026-01-22 18:38:16,-18000,3652941,Portoviejo,200
